Departemen;Jabatan;Function;Risk Management;Business Continuity;Personnel Management;Global & Technological Awareness;Physical Security;Practical Security;Cyber Security;Investigation & Case Management;Business Intelligence;Basic Intelligent;Mass & Conflict Management;Legal & Compliance;Disaster Management;SAR;Assessor
Strategic Operations;Dept Head/Div Head;Department Head;4;3;4;3;4;4;2;4;3;3;4;2;4;4;4
Strategic Operations;Supervsior;Supervsior;3;2;3;2;3;3;1;3;2;2;3;1;3;3;3
Strategic Operations;ASA Academy;Analyst;3;2;3;2;3;3;1;2;2;2;3;1;3;3;3
Strategic Operations;Admin/Gugus;Officer;2;1;1;1;2;1;1;1;1;N/A;1;1;N/A;N/A;2
Strategic Operations;Security Coordinator;Security Coordinator;2;N/A;3;1;3;3;1;2;N/A;N/A;2;1;N/A;N/A;N/A
Strategic Operations;Danru SAR;Danru;1;N/A;2;1;2;2;N/A;2;N/A;N/A;2;1;N/A;N/A;N/A
Strategic Operations;Security;Security;1;N/A;1;1;2;2;N/A;1;N/A;N/A;1;1;N/A;N/A;N/A
Strategic Operations;Protocol Coordinator;Protocol Coordinator;2;N/A;2;1;3;3;1;1;N/A;N/A;2;1;N/A;N/A;N/A
Strategic Operations;Anggota Protokol;Protocol;1;N/A;1;1;2;2;N/A;1;N/A;N/A;1;1;N/A;N/A;N/A
Strategic Operations;Rescue Coordinator;Rescue Coordinator;2;N/A;2;1;1;1;N/A;N/A;N/A;N/A;N/A;1;3;3;N/A
Strategic Operations;Danru SAR;Dantim SAR;1;N/A;1;1;1;1;N/A;N/A;N/A;N/A;N/A;1;2;2;N/A
Strategic Operations;Anggota SAR;Rescue (Anggota SAR);1;N/A;1;1;1;1;N/A;N/A;N/A;N/A;N/A;1;2;2;N/A
Strategic Group Bussiness;Dept Head;Department Head;4;4;4;3;4;N/A;3;N/A;3;3;3;2;N/A;N/A;4
Strategic Group Bussiness;ASA Academy;Analyst;3;3;3;2;2;N/A;2;N/A;2;2;1;1;N/A;N/A;3
Strategic Group Bussiness;Admin;Officer;2;1;1;1;1;N/A;1;N/A;1;N/A;N/A;1;N/A;N/A;1
Strategic Bussiness Intellignet;Dept Head;Department Head;4;4;4;3;4;N/A;2;4;4;4;4;3;4;4;N/A
Strategic Bussiness Intellignet;Sector Head;Sector Head;3;3;2;2;3;N/A;2;3;3;3;3;2;3;3;N/A
Strategic Bussiness Intellignet;ASA Academy;Analyst;3;3;1;2;2;N/A;2;2;3;3;2;2;2;N/A;N/A
Strategic Bussiness Intellignet;Sector Head;Sector Head;3;3;1;2;2;N/A;2;3;3;2;3;2;N/A;N/A;N/A
Strategic Bussiness Intellignet;Ketua Regional Sector Head / Admin;Officer;2;1;1;1;1;N/A;1;2;2;1;2;1;N/A;N/A;N/A
R&D;Dept Head;Department Head;4;3;4;4;4;N/A;3;N/A;3;3;3;2;N/A;N/A;4
R&D;ASA Academy;Analyst;3;2;3;3;3;N/A;2;N/A;2;2;1;1;N/A;N/A;3
R&D;Admin;Officer;2;1;1;2;1;N/A;1;N/A;1;N/A;N/A;1;N/A;N/A;1
R&D;;;;;;;;;;;;;;;;;